Entity,Code,Year,consumption,GDPperCapita,Population,Continent,deaths
Japan,JPN,2018,7.96,41739.203,126255872,,16.13887
Jersey,JEY,2018,,,105387,,
Jordan,JOR,2018,0.69,9584.507,10459864,,2.3342028
Kazakhstan,KAZ,2018,4.76,25544.346,18538100,,49.18724
Kenya,KEN,2018,2.78,4464.813,49953300,,64.82553
Kiribati,KIR,2018,0.46,2033.7283,122276,,24.405031
Kosovo,OWID_KOS,2018,,10755.168,1709966,,
Kuwait,KWT,2018,0.003,48943.008,4317190,,1.0841271
Kyrgyzstan,KGZ,2018,6.26,5133.152,6223503,,50.9503
Laos,LAO,2018,10.72,7546.3345,7105008,,45.648216
Latvia,LVA,2018,12.77,30051.402,1935632,,58.36701
Lebanon,LBN,2018,1.71,17970.94,5950842,,5.090553
Lesotho,LSO,2018,4.59,2541.4526,2198030,,105.05796
Liberia,LBR,2018,6.12,1521.7335,4889396,,47.148724
Libya,LBY,2018,0.019,25734.168,6477791,,3.724389
Liechtenstein,LIE,2018,,,38205,,
Lithuania,LTU,2018,13.22,35446.707,2876128,,56.947803
Luxembourg,LUX,2018,12.94,114164.47,607920,,29.112076
Macao,MAC,2018,,128437.32,650996,,
Madagascar,MDG,2018,1.97,1557.3225,26846544,,31.117662
Malawi,MWI,2018,3.63,1478.4248,18367886,,51.689224
Malaysia,MYS,2018,0.85,26835.81,32399270,,11.33691
Maldives,MDV,2018,2.22,19789.49,489773,,3.1148202
Mali,MLI,2018,1.28,2185.5757,19934304,,22.959251
Malta,MLT,2018,7.99,44615.605,491590,,13.280129
Marshall Islands,MHL,2018,,4955.1294,46012,,20.634556
Martinique,MTQ,2018,,,374843,,
Mauritania,MRT,2018,0.036,5367.2163,4270717,,7.9529247
Mauritius,MUS,2018,4.35,23023.5,1295386,,19.440126
Mayotte,MYT,2018,,,282968,,
Mexico,MEX,2018,5,20278.217,124013864,,40.097645
Micronesia (country),FSM,2018,2.48,3513.8652,110945,,25.378767
Moldova,MDA,2018,11.43,12367.764,3141839,,70.340775
Monaco,MCO,2018,,,37050,,18.901527
Mongolia,MNG,2018,8.19,12052.294,3163994,,123.09068
Montenegro,MNE,2018,11.47,20690.285,631459,,53.405743
Montserrat,MSR,2018,,,4381,,
Morocco,MAR,2018,0.69,8072.0864,35927516,,3.2674925
Mozambique,MOZ,2018,2.3,1292.8977,29423882,,36.126812
Myanmar,MMR,2018,5.12,4556.2812,52666016,,40.013706
Namibia,NAM,2018,5.43,10266.171,2405682,,62.867695
Nauru,NRU,2018,3.71,12209.948,11949,,38.48263
Nepal,NPL,2018,2.05,3719.3079,28506718,,30.24494
